Summary,Issue key,Issue Type,Status,Project key,Project name,Project type,Project description,Project url,Priority,Description
"Totals doesn't sum up Clients for Account member with ""Last"" aggregation",FPA34-7774,Bug,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Very High,"Can't see Total value for ""Customer ID"" dimension. Works incorrect

!image-2022-07-12-15-21-26-904.png!"
Delta updates from SAC model to back end,FPA34-7803,User Story,Considered,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Low,"Customer has a requirement to incorporate a functionality to create PO from SAC and sync it back to backend via delta update on a click of a button.

Text from customer:

We have requirement, to have a button say create PO which should add an entry in the model and asynchronously Sync this data to backend table, where there would be logic to read the synced up data and create the PO document. Is it possible to do delta Sync of data from SAC model to backend for this case."
Import Job Schedules Multiple retry attempts,FPA34-7835,User Story,Considered,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Low,"Please describe your improvement request Schedules for import jobs should have the option to specify multiple reattempts along with a wait interval between attempts. What is the opportunity/problem the request will address? Issue when there are intermittent job failures. Unless notifications are enabled, the job will not automatically attempt a re-run. This functionality is available within SAP Business Objects where web intelligence report schedules can specify a max number of attempts on failure along with a wait interval between tries. I would suggest a maximum number of retries such as 5 and a minimum retry interval of 5 minutes. What is the expected benefit? Faster resolution of job failures. And improved system and operational team reputation. Link to request: https://influence.sap.com/sap/ino/#/idea/287508"
Oracle 19c support,FPA34-7834,User Story,Considered,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Low,"This is to include support for Oracle 19c. As of now, it's till oracle 12c only. We need to create an import connection from SAC to Oracle 19c(on Oracle Cloud Infrastructure), which is not possible today as per SAP, as the same is not supported. This is a business requirement for CFO dashboards. Link to request: https://influence.sap.com/sap/ino/#/idea/287638"
Support for MS SQL 2019,FPA34-7833,User Story,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"Please describe your improvement request For now, MS SQL 2019 is not officially supported for Data Connection. SAP declared to support MS SQL 2019 in Q2.2020 in product development plan but SAP changed the roadmap and postponed it to a later time period. What is the opportunity/problem the request will address? MS SQL is very widely used Database in many customers. MS SQL 2019 version is officially released in November.2019. For many customers, due to improvements in performance in MS SQL 2019, upgrade processes started and some of them are using 2019 version now. What is the expected benefit? Now, as MS SQL2019 is not supported officially by SAP, some customers are looking for alternative Cloud Analytic solutions, but we would like to make SAP analytics cloud support MS SQL 2019 and be the best alternative for SAP customers. Link to request: https://influence.sap.com/sap/ino/#/idea/250408"
[Fiori Horizon] Stories color picker with new horizon defaults ,FPA34-7765,User Story,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,Medium,"h3. Description
Change the story color pickers to show the horizon default colors.

Currently there are multiple color pickers which show colors not aligned with the Fiori horizon theme. Adapt to make it easier to pick horizon compliant colors.

h3. UX doc
https://www.figma.com/file/DGbdvnloeukfFB1vZ04CEM/Horizon-Color-Palette?node-id=0%3A1"
[Fiori Horizon] Enterprise Story Canvas Support,FPA34-7832,User Story,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,High,"We need to enhance the styling options in the story to be able to create Fiori Horizon canvas themes for the Enterprise Scenarios. A subset of the requirements for Enterprise is covered in the workstream for OEMs. [FPA34-7830]

The plan is to deliver the prebuilt Horizon themes into all Enterprise tenants for designers to use. 

Below are the requirements for achieving this look.

h3. These requirements can be done in CSS:

Popup
* Border and border radius
* Button Border Radius

Dropdown
* Border settings including rounded corners for dropdown, not widget
* Border around hover/and active entry when dropdown is open

List Boxes
* Border around hover/and active entry when dropdown is open

Button
* Border Radius 8px of button, not widget

Filter Line
* Rounded corners for defined filters

Comment Widget
* Font and Icon colors (sufficient in CSS for now as not available in side panel) - further elaboration on approach needed.

VDT
* Background Color of nodes 
* Borders and radius of nodes
* Color of lines connecting nodes
* Font color in node
* Font color in widget
* Symbols Color in node
* Symbols Color in widget

Data Action Trigger
* Icon background and font colors
* Font color

Multi Action Trigger
* Icon background and font colors
* Font color

BPC Planning Trigger
* Icon background and font colors
* Font color

h3. These requirements need to be done in the theming preferences

Button
* Font color depending on button state and button type in theming preferences

R-Viz
* Font color in theme preferences
"
[Fiori Horizon] Style RSS Readers in line with Fiori Horizon,FPA34-7829,User Story,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,High,"In order to create Fiori Horizon theme, additional styling options are necessary for RSS readers:

* Font color in Theme preferences
* Controls styling
** Minimum goal for Horizon Morning and Evening: Light and dark control styling in theme preferences
** Goal to also enable High contrast Horizon: make it possible to fully style controls (background, border, font color) in theme settings and in widget styling)

CSS is not sufficient here because the same setting is already available in the widget panel and styling it in CSS as part of a theme would make it impossible to override it in the widget settings which is not acceptable for a standard theme.

This needs to be available in Story 2.0."
[Fiori Horizon] Style Geo Maps in line with Fiori Horizon,FPA34-7825,User Story,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,High,"In order to create Fiori Horizon theme, additional styling options are necessary for Geomaps:

* Control styling 
** Minimum goal for Horizon morning and evening: dark or light control selection as part of theme preferences
 !Geomap Controls Styling.png|thumbnail! 
** Goal to also support horizon high contrast themes: Make it possible to custom style the controls (border, font and background) in theme preferences and widget settings.
* Choose base map as part of theme
 !Map baselayer.png|thumbnail! 

CSS is not sufficient here because the same setting is already available in the widget panel and styling it in CSS as part of a theme would make it impossible to override it in the widget settings which is not acceptable for a standard theme.

This needs to be available in Story 2.0.

"
[Fiori Horizon] Style Tables in line with Fiori Horizon,FPA34-7826,User Story,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,High,"In order to create Fiori Horizon theme, additional styling options are necessary for Tables:

* It needs to be possible to add the default threshold style to the theme preferences.
 !image-2022-08-11-15-33-58-250.png|thumbnail! 

CSS is not sufficient here because the same setting is already available in the widget panel and styling it in CSS as part of a theme would make it impossible to override it in the widget settings which is not acceptable for a standard theme.

This needs to be available in Story 2.0.

"
[Fiori Horizon] Style Clocks in line with Fiori Horizon,FPA34-7828,User Story,Open,FPA34,FPA34 - SAP Analytics Cloud Product Mgmt (Derek),software,Augmented BI and Planning for SAC,https://ifp.wdf.sap.corp/cprojects?sap-client=001&STARTVIEW=Projects&OBJECT_TYPE=TTO&GUID=6CAE8B27FCC31ED59D8BCB674218022A&sap-language=EN,High,"In order to create Fiori Horizon theme, additional styling options are necessary for Clocks:

* We need to be able the font color, family and style of a clock. This is sufficient in CSS.

This needs to be available in Story 2.0."
