Summary,Issue key,Issue id,Issue Type,Status,Project key,Priority,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Version / Delivery,Component1,Component2,Component3,Component4,Component5,Component6,Due Date,Description,Votes,SignedData
Delete option to create a BPC on tenants with BI only license,FPA34-3739,5850866,User Story,Parked,FPA34,Low,I818705,I860254,I860254,3/11/2019 18:45,2/25/2022 23:41,9/29/2022 9:56,,,,"Planning (Allocations, VDT, etc.)",,,,,,,"On any BI only tenant, or even for every BI only user,?? if I go to connections, I can??currently see the option of acquiring data from ""SAP BPC"" and I am even allowed to select the option and to start making the connection.??

However, only Planning licenses are allowed to connect with BPC and somewhere along the road, this integration is not possible to do.

Wouldn't it be better to either:

a) Not show the possibility to connect to BPC, OR

b)??When selecting to do a BPC connection, show a message that indicates??""You need a Planning License to use BPC data"" o something similar ?

??",1,1
Version management for different forecast versions,FPA34-4195,6163071,User Story,Backlog,FPA34,Medium,I818705,,,6/10/2019 20:25,2/25/2022 23:33,9/29/2022 9:56,,,,"Planning (Allocations, VDT, etc.)",,,,,,,"ExxonMobil anticipates 50-200 versions per model and are concerned about how to find the correct version to use for Planning as they may be changing monthly and be in various states of planning.?? When discussing this item with the ExxonMobil team, they were thinking about a folder/subfolder concept so they could move versions between folders.?? Although this construct does not currently exist for dimension members, a level based hierarchy could achieve identical results.

Solution proposed: To allow level based hierarchies on version. There would be a default hierarchy with a category (although an alternate level based hierarchy based on a customer attribute(s) would be ideal). From there, SAC would follow the logic on how to handle version management and story filtering.?? Suspect adding parent child hierarchy would add some unnecessary members into this dimension that would only complicate reporting.?? However a level based hierarchy does not require the addition of new members.",1,1
Model Owner should not have special rights,FPA34-3926,5988169,User Story,Open,FPA34,Medium,I818705,I034563,D065043,4/17/2019 6:27,2/25/2022 23:31,9/29/2022 9:56,,,,"Planning (Allocations, VDT, etc.)",,,,,,,"h4. Request
Currently the model owner (aka. creator of a model) has special access rights, e.g. Data Access Control or Data locking do not apply. This is not desired in real world use cases, secuity mechanisms should always apply with one exception for super admin user.

h4. Details
Please check FPA02-10971 for a detailed discussion.",2,1
DTC - for financial reporting need ability to create table with numbers on each side the row dimension (butterfly layout),FPA34-3135,5519385,User Story,Considered,FPA34,Medium,I818705,I817109,I817109,11/29/2018 16:23,2/25/2022 23:22,9/29/2022 9:56,,,,"Planning (Allocations, VDT, etc.)",,,,,,,"A typical desire for Financial reporting is a table laid out like this:

??

Current Mo Actual - Current Mo Forecast \{Down the middle goes the row descriptions} Then following the row descriptions goes -?? Ytd Actual - Ytd Forecast",1,1
Ability to continuously scroll across time in the calendar,FPA34-3968,6018617,User Story,Considered,FPA34,Medium,I818705,I818705,I818705,4/26/2019 21:39,2/25/2022 23:06,9/29/2022 9:56,,,,Collaboration/Commenting,"Planning (Allocations, VDT, etc.)",,,,,,"Currently in the SAC calendar we can only view events based on day, week, or month.?? When we pick a given time granularity, we cannot scroll continuously across periods within that time granularity (i.e. we cannot see part of one month, and part of the next month).?? When we move back or forth it moves to the prior or next time period entirely.?? ??This is both in Calendar and Gantt view.?? ??This is not ideal given that planning processes often cross time periods.

If you were to click the date/calendar in the windows toolbar it typically displays by month, but it does 2 specific things:

??
 # Always shows date beyond the current month.?? Obviously the dates on either to end to complete the week, but also the next full week in the following month.
 # Allows you to scroll down in that monthly view to straddle over 2 months.??

??

For planning this is really handy because typically planning process cycles for larger companies are several weeks or longer and they obviously will then cross months.???? As we move into larger processes with sub-tasks, and dependencies being able to get a more complete view of the entire process duration would be good.???? For Gantt scenarios I could even see taking this slightly further and including an auto-size option, where you click on the specific process (typically an overarching process), and then automatically zoom the scale of the chart to encompass the entire process.",1,1
Incremental Load in free hand query (OData),FPA34-4161,6144106,User Story,Considered,FPA34,Low,D035331,D069163,D069163,6/4/2019 10:14,2/25/2022 9:10,9/29/2022 9:56,,,,Data Integration,,,,,,,"Hello,

For OData with Input parameter, there is no query builder as of now. We are using the freehand query in OData connection type as a workaround.

We have no clue how to use incremental load functionality with the freehand query. Could you please enhance this feature until we do not get query builder functionality.

This would be our standard integration capability for group level planning and Transaction data transfer for enhanced SAC analytics. Missing incremental load??is expected to cause real trouble once customers will start to use it.

Regards,

Harit Bhasin",1,1
Dynamic Time Horizon for Planning Users,FPA34-4594,6596471,User Story,Parked,FPA34,Medium,I818705,I342166,I342166,9/18/2019 1:57,2/24/2022 0:11,9/29/2022 9:56,,,,"Planning (Allocations, VDT, etc.)",,,,,,,"BHP have requested the ability to have dynamic time horizons, that would present a different time horizon based upon the user and their position in the planning process.

The use case for this is that different planning users have a need for different time horizons; a mine planner needs to have a 5 year view, whilst a cost centre owner at function level might need to view at an 18 month, or shorter horizon.",1,1
Comment should be considered in data locking. ,FPA34-4150,6135869,User Story,Open,FPA34,High,I067918,I066938,I066938,6/3/2019 5:00,2/23/2022 22:27,9/29/2022 9:56,,,,Collaboration/Commenting,"Planning (Allocations, VDT, etc.)",,,,,,"At the end of planning cycle, when the data region is locked, not only the transaction data but also comments should be??locked.??

??",1,1
Specifying value option of Data Action Parameter,FPA34-4696,6726066,User Story,Backlog,FPA34,Medium,I818705,I334682,I334682,10/22/2019 8:24,2/23/2022 21:23,9/29/2022 9:56,,,,"Planning (Allocations, VDT, etc.)",,,,,,,"We can restrict value option for input control/story filter which user can choose when designing story.

??

But Data Action parameter don't have such function. Could you please add it?

(For example, I want to restrict the value option for ""Version - Copy From"" and ""Version - Copy To"" for Data Copy action.)

??

*As the prerequisite, please let us change ""Target Version"" Parameter for data action... At least we want to update its explanation message to suit business requirements.

??",1,1
Master Data Import from HANA DB via HANA Calc View,FPA34-4551,6556388,User Story,Considered,FPA34,Medium,D035331,I864747,I864747,9/9/2019 5:59,2/21/2022 9:28,9/29/2022 9:56,,,,Modeling ,,,,,,,"+*Problem*+
Currently SAP Analytics Cloud supports import/export of master data and transaction data via oDATA services for an S/4HANA OP connection (assuming 1809 SP00+ in the case of import and SP01+ in the case of export). In addition if a customer wishes to import data directly from the HANA DB via HANA Calc Views this works in the case of transaction data, however, the option is not available for master data.

We don?€?t see the HANA calculation views for master data, only for transaction data.",1,1
Block user from delete value in planning grid ,FPA34-4041,6063433,User Story,Backlog,FPA34,High,I818705,I034563,I034563,5/13/2019 3:53,2/18/2022 23:07,9/29/2022 9:56,,2019.09,,"Planning (Allocations, VDT, etc.)",,,,,,,"Hi,??

?? ??BHP is using VDT via local planning model in SAC, master data is load from BW/BPC as well as the transaction. In addition, all planning will be exported to BW/BPC after what-if simulation in SAC through planning grid and VDT.??

?? ??To make sure all data changes made in SAC are synced and reflected in BW/BPC side, user should not be allowed to Delete data from cell in planning grid. Because this set the record to null and this change will NOT be reflected when export data to external data source.??

?? ??There should be a setting at model or story level, either to disable user to use delete button or user can only delete to '0' instead of 'null'.??

??

Best regards, William??

??",1,1
Enhance forecast layout with look back and look ahead feature with centralized settings in the model ,FPA34-4209,6183028,User Story,Considered,FPA34,Medium,I818705,I050928,I050928,6/14/2019 19:36,2/18/2022 22:23,9/29/2022 9:56,,,,"Planning (Allocations, VDT, etc.)",,,,,,,"Customer BHP would like to maintain the look back and look ahead settings centrally in the model per version and not in the story. 
I quote the partner referring to BPC feature:
_""Expectation is to manage the Time horizon dynamically in the input stories based on the Scenario properties (i.e.: forecast, budget, 5Y budget) or a centralized parameter (e.g. Start Date, Last Actual month date, End date properties of Forecast Scenario). 
This way the display would be flexible and managed centrally by one user that configures all input forms before each Forecast start.""

To fulfill quickly their requirements, I suggest to enhance the current UI existing UX of ""specific date"" and be able to select in this field an attribute of the model (instead of updating the date every quarter) this would allow the centralized maintenance and dynamic display of the input stories 
Examples provided :
Every quarter at BHP the Rolling Forecast Scenario rolls out an input story with 6 months looking back and 18 looking ahead
 
This option should be also applicable to the cross calculation feature.

See screeshots enclosed ",1,1
Auto-derivation of source/target mapping between models even where dimension levels differ ,FPA34-4318,6256393,User Story,Considered,FPA34,Medium,I818705,I818705,I818705,7/5/2019 15:19,2/18/2022 22:21,9/29/2022 9:56,,,,"Planning (Allocations, VDT, etc.)",,,,,,,Request the ability to automatically map source to target members during an inter-model copy where the members exist at different levels in the source and target dimension but have matching IDs.?? For example node level in the source =?? leaf level in the target.,1,1
Attribute mapping during Inter-model Data Action copy ,FPA34-4317,6256392,User Story,Backlog,FPA34,Medium,I818705,I818705,I818705,7/5/2019 15:15,2/18/2022 22:21,9/29/2022 9:56,,,,"Planning (Allocations, VDT, etc.)",,,,,,,"We have already come into a few cases where customers are having to re-pivot data within the mode (i.e move data not just across members within a dimension, but dimensionalize data based on attributes), and we're having to us Advanced Formula's to do this because Data Copy steps do not support copying across dimensions, or derivation of values based on attributes.?? ??The later scenario is often asked for during inter-model copy operations when the source model lacks dimension which we wish to derive from attributes on specific dimension elements in the source.??",1,1
"Once Model created from BPC , cannot be modified to add or remove dim or filters",FPA34-3828,5928589,User Story,Parked,FPA34,High,I818705,I820398,I820398,4/1/2019 22:57,2/18/2022 21:20,9/29/2022 9:56,,,,Data Integration,"Planning (Allocations, VDT, etc.)",,,,,,"Creating again so that we can add customer labels to this requirements.??

https://sapjira.wdf.sap.corp/browse/FPA15-11148?filter=-2{color:#333333} - Created under wrong component last year. {color}??

??

https://sapjira.wdf.sap.corp/browse/FPA00-13854 - ER maintained by Dev but we can't add customer labels to this.??

??

Almost every BPC customer requests this ER.??

??

Dear Dev,

This is the request from all Planning customers and partners who are working with the SAC - BPC integration piece. After we create the Model in SAC using the BPC Data source, their is no way to go back and change the model to add the new dimension or remove the existing dimension or change the filters in the existing dimension like Stepan wants to change the time filter from 2016 to 2017, 2017 to 2018 , 2018 t0 2019 .... each year. Because of this limitation right now they have to create Model each year and then have to recreate the stories as well.

Would be nice to modify the model after its created in SAC using BPC connection.

Thanks and regards,
 Sushma

??",1,1
Data Action Copy: Need the property filter,FPA34-3709,5838653,User Story,Considered,FPA34,High,I818705,I066938,I066938,3/7/2019 8:50,2/18/2022 21:19,9/29/2022 9:56,,,,"Planning (Allocations, VDT, etc.)",,,,,,,"As an admin, when specifying filter for data action copy, instead of choosing the individual member one by one, i would like to have a property filter. E.g. I select all the members with property called ""Valid"" = Y.",3,1
Data Action - Support dynamic time filter,FPA34-3289,5575857,User Story,Backlog,FPA34,High,I818705,I342166,I342166,12/17/2018 2:53,2/18/2022 18:06,9/29/2022 9:56,,,,"Planning (Allocations, VDT, etc.)",,,,,,,Defining the filter of a model copy only hard coded values are allowed meaning this has to consistently changed for planning rounds,2,1
Some VDT nodes not editable except in private version of VDT,FPA34-4497,6501247,User Story,Considered,FPA34,Low,I818705,I826716,I826716,8/27/2019 18:34,2/18/2022 17:52,9/29/2022 9:56,,,,"Planning (Allocations, VDT, etc.)",,,,,,,"Some values in the value driver tree should not be editable in the VDT, although editable in a private version of the VDT, so that the user can explore what-if scenarios but must make the update to the ""official"" number outside the tool.

The customer has a 3rd party tool for modelling some data. This becomes input to the VDT. The customer likes to model what-if scenarios in the VDT, but once the ""official"" value is determined, it must be changed in the 3rd party tool and resynced??with??the VDT. By making all the nodes read-only in the public version, the user must make the change in the 3rd party tool. And by making the nodes editable in the private version, the user can investigate the what-if scenarios.??",1,1
DTC - Use different hyperlinks from different cells in the table,FPA34-3703,5835004,User Story,Backlog,FPA34,Very High,D053636,I045436,I045436,3/6/2019 10:57,2/16/2022 9:42,9/29/2022 9:56,,,,"BI (Charts, Explorer, Geo, Input controls, etc.)",,,,,,,"The customer want to be able to define different hyperlinks from different cells in a table.

This means we need to define hyperlink at cell level, each one to point to different pages in the same story or different external hyperlinks.",1,1
[Data Integration] Connect to Snowflake,FPA34-2999,5439718,User Story,Considered,FPA34,Medium,D035331,D035331,,11/5/2018 18:00,2/7/2022 15:32,9/29/2022 9:56,,,,Data Integration,,,,,,,Connect to Snowflake,4,1
Definition of global themes,FPA34-4141,6124649,User Story,Backlog,FPA34,Medium,I866445,I333256,I333256,5/29/2019 11:13,2/2/2022 13:17,9/29/2022 9:56,,,,"BI (Charts, Explorer, Geo, Input controls, etc.)",System Administration ,,,,,,"See one pager in FPA34-6346

*Problem Statement:*

Today, a story designer needs to define the styling of each story individually. Existing story templates can be applied to a new or existing story, but what is being captured with templates is limited and inconsistent across story widgets. Moreover, these templates are not managed centrally and there is no way for a tenant administrator or a super-user to enforce consistent story design across the tenant and ensure compliance with corporate styling guide.??

*Proposed Solution:*

A tenant administrator or a super-user can create a centrally managed theme/template. A centrally-managed property of this artifact means that, once created, it can be applied to new and existing stories; if the original centrally-managed theme/template changes (e.g. updated logo, new preferred colour template) that change propagates to all stories to which this theme/template was applied.??

A centrally managed theme/template needs to be comprehensive and include:
 * preferred colour palette for widgets??
 * background colours/images
 * layout - story pages, lanes, widgets, text boxes, etc??
 * populated widgets, for example an image widgets with an?? image already defined??
 * default settings formatting, including number of d.p., scale, etc??

A creator of the theme/template may want to determine whether story designers can override the applied theme. A creator of the theme/template may want to see the related objects ( list of stories using the said theme)

A theme/template in this user story only applies to the contents of the story, it does not impact the SAC shell, such as toolbar or navigation pane.??

??

-------

original ask:

As a SAC Admin I would like to be able to define global themes in my tenant:????
 * Sales revenue is displayed in green and operating cost in orange,
 * Data coming from Germany displays in bold letters,
 * Actuals and Budget versions have a different format as well IT would like to define this rules so all business users will see the data in the same way.??
 * Define a custom unified for all users with the possibility to use corporate colors etc.??",1,1
Variable container (not linking variables one by one),FPA34-3252,5564997,User Story,Considered,FPA34,High,D032884,D064540,,12/12/2018 14:43,1/24/2022 16:47,9/29/2022 9:56,,,,"BI (Charts, Explorer, Geo, Input controls, etc.)",,,,,,,"As an application designer, I would like to be able to use variable container functions so that I can specify the value and behavior of variables across data models without scripting/linking them individually.",1,1
[Misc] Indication of release cycle,FPA34-3187,5544056,User Story,Parked,FPA34,Very High,I819951,I819951,I819951,12/6/2018 17:36,1/20/2022 13:24,9/29/2022 9:56,,,,System Administration ,,,,,,,Customers need an indication of the release cycle their tenant is on. Currently customers have no way of knowing whether a tenant is on the Quarterly release cycle or the fast track.,1,1
[BW Live] Lift Limitations with BW hierarchies,FPA34-3316,5597027,Epic,Considered,FPA34,Medium,D052181,D028063,D028063,12/21/2018 12:28,1/17/2022 15:42,9/29/2022 9:56,,,,"BI (Charts, Explorer, Geo, Input controls, etc.)","BTP, HANA, Fiori Integration",,,,,,"Cases:
 * Link Nodes
 * Enable Top N with hierarchies (reported by SAP internal) --> does that work in Analysis?",1,1
[BW Live] Customers' Enterprise Readiness,FPA34-3810,5913557,Epic,Considered,FPA34,Medium,D052181,D028063,D028063,3/28/2019 11:41,1/17/2022 15:42,9/29/2022 9:56,,,,BW Integration,Scheduling/Bursting,,,,,,This Epic summarizes requirements from BW customers concerning enterprise readiness of a productive Analytics solution.,1,1
[Table] Threshold - support custom shapes for threshold definition,FPA34-3047,5468777,User Story,Open,FPA34,Medium,I866445,,,11/14/2018 5:50,1/17/2022 12:04,9/29/2022 9:56,,2018.2,,"BI (Charts, Explorer, Geo, Input controls, etc.)",,,,,,11/23/2018 0:00,"*Detail :* in SAC Thresholds(related in conditional formatting), there are only 4 icons which can be chosen.

Green square, yellow triangle-upper, red circle, blue circle ?€? no way for customer specific identifier.

?€?More?€? option in below pic is about colour, not icon.

*-Expected Behavior* : functionality to assign custom character like ???????? by key-in ?€? to use in table component.

This is typical function of conditional formatting of Webi/Deisgnstudio and others.

Detailed info, please check the attached file.",1,1
[Security] Enable allowlisting on SAC to limit access from specified IP / Proxies only,FPA34-3843,5941582,User Story,Open,FPA34,High,I819951,I501299,I501299,4/4/2019 8:30,1/12/2022 17:08,9/29/2022 9:56,,,,Infrastructure & Compliance,,,,,,,"This is a security enhancement request to avoid non-corporate devices?€? access to SAC. With this enabled, they should be able to limit access to SAC to only restricted devices through specified proxies without the need of setting up / routing through a reverse proxy.

The expectation here is that if??an anyone tries to login on SAC outside the IP range SAC can recognize that they are from non-allowlisted addresses) and they cannot see anything. So ideally SAC will only be opened to the allowlisted proxies (ie. a range of IPs).

UI should be provided so customer can manage own IP address range.

This was completed as a 'one off', should be made available as a feature
https://sapjira.wdf.sap.corp/browse/FPA00-19438
??
See Success Factors feature here 
https://userapps.support.sap.com/sap/support/knowledge/en/2089414
",1,1
Non-useful and misleading information  for TS forecasting in Smart Discovery ,FPA34-4456,6424454,User Story,Open,FPA34,Medium,I051666,I058617,I058617,8/14/2019 12:33,1/12/2022 12:48,9/29/2022 9:56,,,,Smart Assist,,,,,,,"Users are expecting some information or hints on page itself related to reliability of Forecast. Today we show quality as 5 different values. With the related example for Exxon Mobil, the quality is shown as 4/5 and but forecast is not reliable. there are 3 major problems:

1) SD quality is no way related to Smart Predict output. MAPE is high and the SP considers other variables into account in TSF while Smart Discovery does not. There is misalignment between SP and SD. For which Jira exist already??https://sapjira.wdf.sap.corp/browse/FPA34-3345 .

2) Seeing the forecast in SD, it is almost evident that forecast is poor. We know also that MAPE is high,?? forecast is straight line (constant values for future periods), actual vs forecast values are far off and confidence interval is very big. Despite these, Quality on Forecast chart is shown as 4/5 in SD. Customer didn't expect this.??We need to look into various output parameters from underlying APL and suggest user if the forecast is trust-able or not.

--> In some cases, customers have specifically asked for showing output parameters like MAPE on UI. So user can decide if they should trust forecast or not. Check the relevant jira:??

https://sapjira.wdf.sap.corp/browse/FPA34-3757

??

3)In this case, Tripe Exponential Smoothing looks little better but not too useful as well. If it comes to a point that no good forecast can be generated using different algorithms, there should be no forecast chart at all in SD. Customers could always go to SP and see the details. This could be relevant to BI and Planning TSF as well.

??

??",1,1
Allow users to select one measure out of many for forecast in BI charts,FPA34-4581,6579335,User Story,Open,FPA34,Medium,I051666,I058617,I058617,9/13/2019 15:14,1/12/2022 12:48,9/29/2022 9:56,,,,Smart Assist,,,,,,,"We have a request to use the automatic forecasting feature of SAC in one of the stories. (coming via SAP support team)

We have 3 measures on a time series chart: Actual, MOP and Budget. The MOP and Budget are planned by the business, and serve as targets for the actuals. To be clear, these are not stored as planning values (as in using an SAC Planning Model), but are stored as ?€?Actuals?€? as we?€?re using an Analytical Model.

When we plot the data and use the automatic forecast,??result is displayed - see screen shot.

As you can see, the forecast is applied to all 3 measures, however we would like to apply the forecast only to the ?€?Actual?€? measure, so that we can see how this would compare to the upcoming MOP and Budget (planned) values.

Is it possible to forecast just one of the measures on a visualization??? We don't want to use Planning model yet.??",1,1
Predictive Forecast: Allow users to specify time horizon for training in Line Chart,FPA34-4358,6300794,User Story,Open,FPA34,Medium,I051666,I026893,I026893,7/17/2019 14:16,1/12/2022 12:48,9/29/2022 9:56,,,,Smart Assist,,,,,,,"Currently??the number of forecast periods depend on the number of data points (actual data) shown in the time series of Line chart.

??

??Business case from customer:
 * Have all data in time range from??3 years (till 2019????Jun)
 * Want to show actual data of 2019 (Jan - Jun) only and??forecast data of next quarter (July - Sept) in the chart
 * In this case only 1 forecast period is generated but customer has enough historical data to generate up to 7 forecast periods
 * Additionally, if using filter (widget filter, page filter, story filter) to limit the data shown in the chart, the forecast periods will also be limited (decreased).

What the customer would like is:
 * ??Focus on current year only, but the forecast is based on more data including previous years to bring higher quality

Request to add a dedicate filter within the Time Series or Line Chart forecast to specify periods to be used to generate the forecast.",1,1
capture data of the predictive forecast or what if scenario in the database ,FPA34-3492,5738149,User Story,Open,FPA34,Medium,I051666,I050928,I050928,2/7/2019 17:35,1/12/2022 12:48,9/29/2022 9:56,,,,"Planning (Allocations, VDT, etc.)",Smart Assist,,,,,,"when displaying data in a context of a what if visualisation (input control with slider and values applied to existing measures) the customer would like to save , in a dedicated version, the outcomes of its visualisation of the data into the database, a kind of snapshot of the data exposed in the story, they don't want to enter data manually ??

this scenario can be extended to the outcomes of the predictive forecast in the Time series chart.??

additional details provided by Novartis:??Automated Forecast in BI: it should be possible to persist the forecasts that are generated as additional data. It should be possible to visualize them in a table. (see screenshot)",1,1
"Time-series chart has advanced forecasting options, but line chart has not",FPA34-4294,6248170,User Story,Open,FPA34,Medium,I051666,D027081,D027081,7/3/2019 16:39,1/12/2022 12:48,9/29/2022 9:56,,,,"BI (Charts, Explorer, Geo, Input controls, etc.)",Smart Assist,,,,,,"Hi,??

a time series chart offers me possibilities to create a forecast. The submenu advanced options of the forecast has an option for ""add additional Inputs..."" (cp. attached screenshot). A time-series chart on the same data also has a forecast button, but the in the corresponding submenu the menu entry for ""Add Additional Inputs..."" is not present.??

The two charts should behave in a similar way for this identical feature (i.e. both should have the mentioned menu entry). They alredy look extremely similar when presenting the forecast. It is not understandable for the user that they have different configuration options.??

Br, Jan",1,1
Forecast in planning - allow users to compare original and forecasted values in preview,FPA34-4360,6303264,User Story,Open,FPA34,Medium,I051666,I311255,I311255,7/18/2019 8:05,1/12/2022 12:48,9/29/2022 9:56,,,,Smart Assist,,,,,,,"When running a forecast in planning the users sees a preview of the forecast before accepting it.

Previously the user was presented with the original values and the foretasted values in the preview in both a?? graph and a table.??

As part of the change to allow the users to write the forecast to a?? different version the original values were removed form the table.

The comparison is still available in the chart and in the planning grid once the forecast is accepted.

??

Feedback form customers is that planning users would like to compare the original and forecasts values before accepting them and would have a strong preference for comparing numbers in a table.",1,1
Predictive Forecast - provide transparency on forecast to users,FPA34-3259,5565010,User Story,Open,FPA34,Medium,I051666,I311255,I311255,12/12/2018 14:59,1/12/2022 12:48,9/29/2022 9:56,,,,Smart Assist,,,,,,,"Missing transparency and information on which algorithms and training dataset is used to run the timeseries forecast - blackbox leads to lack of trust in results.

??

Allow the user to understand the forecast in order to give credibility, need to balance between transparency and simplicity.",1,1
"When creating a forecast in a time series visualization in a story, I need outliers to be highlighted for me",FPA34-3753,5859584,User Story,Open,FPA34,Medium,I051666,I051666,I051666,3/13/2019 14:12,1/12/2022 12:48,9/29/2022 9:56,,,,Smart Assist,,,,,,,"Automated Forecast in BI: The notion of outliers is not present. (see screenshot)

??

Part of Jira requirements where customers want to see Debriefing information in BI charts?? TSF.??",1,1
"When creating a forecast in a story, I would like to get a classic statistical indicator to evaluate time series models - not the 5/5 score",FPA34-3754,5859609,User Story,Open,FPA34,Medium,I051666,I051666,I051666,3/13/2019 14:42,1/12/2022 12:48,9/29/2022 9:56,,,,Smart Assist,,,,,,,"The 5/5 quality score is not the most easy way for controllers to interpret the forecasting results - standard quality indicators should be provided.

??

Part of Jira requirements where customers want to see Debriefing information in BI charts?? TSF.??",1,1
Forecasting in Planning: The graph needs to be created again,FPA34-3758,5859637,User Story,Open,FPA34,Medium,I051666,I051666,I051666,3/13/2019 15:12,1/12/2022 12:48,9/29/2022 9:56,,,,"Planning (Allocations, VDT, etc.)",Smart Assist,,,,,,"The graph needs to be created again (I think what they mean is that you can see the graph when generating the forecast and using the preview but you cannot see the graph later on and you have to recreate it).??

see attached screenshots from Novartis

??",1,1
Smart Discovery - Allow user to select versions,FPA34-4036,6061725,User Story,Backlog,FPA34,Medium,I051547,I311255,I311255,5/10/2019 16:00,1/12/2022 12:46,9/29/2022 9:56,,,,Smart Assist,,,,,,,"??In smart discovery, if the model contains multiple versions the user can select the target version - the default is actual I think.

Smart Discovery is executed against the selected version. Variances are shown against automatically selected second versions.

The issue is that in some Models s a variance does not make sense of only one of possible comparison version is sensible.

The overview page is based on the selected version and??variance is shown??against an automatically selected second version.

The other pages are based on the data from the selected version.

The enhancement is to allow the user to

Select the target version (already supported)

Select the comparison version or select no comparison.The attached ppx shows the current behaviour

??

??",1,1
Let users know why Smart Insights is not offered ,FPA34-3177,5542916,User Story,Backlog,FPA34,Medium,I051547,I311255,I311255,12/6/2018 12:09,1/12/2022 12:46,9/29/2022 9:56,,,,Smart Assist,,,,,,,"Customers have found it very confusing that sometimes they get offered Smart Insights and sometimes they don't. the common reaction is to ask ""What did I do to break it"" or ""Is there something wrong with my data""?? We need to make ti obvious to the user why it is not offered.",1,1
Smart Discovery for Calculated Measures,FPA34-3194,5547768,User Story,Backlog,FPA34,Medium,I051547,I311255,I311255,12/7/2018 16:16,1/12/2022 12:46,9/29/2022 9:56,,,,Smart Assist,,,,,,,"*link to??[One Pager|https://sap.sharepoint.com/:p:/r/teams/ProductStrategyAugmentedBI/Shared%20Documents/General/Team/Exploration%20%26%20Epic%20Documents%20[PUBLIC%20to%20SAP]/Analyst%20-%20One%20Pagers/FPA34-3194_FPA34-4805%20%E2%80%93%20Smart%20Discovery%20for%20Calculations%20and%20exception%20Aggregations.pptx?d=w156b5d97f087418989241de7e8a6a76a&csf=1&web=1&e=ATKGyp]* 

*Business value:*
 * Automated exploration for any of the KPIs and measures in your BI Data
 * Find what?€?s behind the most interesting values in your data.
 * Use Smart Discovery for financial and planning use cases

*Key Capabilities:*
 * Support for Calculated measures as a target to Smart Discovery

??

Another example where the flow does not work for a very standard modelling process. Part of building a basic usable Smart Discovery that runs on BI data.

??

Use-case from Pilkington Group was that they added temperature and weather variations on their sales data. SD was showing total temperature by sales on 1st page in scatter plot that didnt make any sense. So he thinks if there was a calculated measure possibility he could perform an average or special formula for sales on weather data and then analyse the impact on average sales.

??",1,1
Generate Smart Discovery for Canvas pages,FPA34-4555,6558387,User Story,Open,FPA34,Medium,I051547,I058617,I058617,9/9/2019 10:40,1/12/2022 12:46,9/29/2022 9:56,,2017.19,,Smart Assist,,,,,,,"From Daniel Davis on behalf of customer :

Wanted to generate one SD sand add elements to an existing story (canvas) BUT some (most) of the SD elements can?€?t be copied / duplicated so stuck with Responsive

So the simplest way to describe it is the Option to generate a SD on a canvas rather than a Responsive.??

??

That way I can add other elements to the 4 pages as I (and my customers) prefer (for many applications) a canvas rather than a Resp layout.",1,1
Smart Discovery on Live Universe,FPA34-3513,5749272,User Story,Considered,FPA34,Medium,I051547,,,2/11/2019 15:30,1/12/2022 12:46,9/29/2022 9:56,,,,Smart Assist,,,,,,,"Generate Smart Discovery on Live Universe.??

As per conveyed and agreed support [here|[https://jam4.sapjam.com/groups/5xGwfqrwZaOBYwYHz47z3s/documents/rHJfUneUnZiNqO4MqlOvPr/slide_viewer]] this would mean only supporting the overview page of Smart Discovery . As rest of pages such as Key Influencers and Simulation need APL engine which is directly not possible on Universe.??

The plan is rather to prefer DWC connections instead of Universe for APL related widgets.??",1,1
Smart Discovery - Use semantics for measures to determine if high or low values are positiive,FPA34-3232,5564467,User Story,Backlog,FPA34,Medium,I051547,I311255,I311255,12/12/2018 13:10,1/12/2022 12:46,9/29/2022 9:56,,,,Smart Assist,,,,,,,"In the??unexpected values??tab there is an assumption that a value going up is good - this can be confusing for the user if this is not the case for instance costs or expenses.??

We should leverage semantics to determine this.
 * Account type when available is an option here
 * Possibly we could provide an option to the user to correct this if we do not have an account type.",1,1
Smart Discovery - Extend the 1 million cell limit,FPA34-3737,5849930,User Story,Open,FPA34,High,I051547,I051666,I051666,3/11/2019 14:26,1/12/2022 12:46,9/29/2022 9:56,,,,Smart Assist,,,,,,,"+Exxon Context+

ExxonMobil is very excited about the Smart ?€? Predictive features in SAC.?? In fact, that is one of the major (if not the major reason) why they chose SAC as a strategic platform.?? We are currently in Design and Build phase, loading ExxonMobil actual data and wire framing the stories.?? In the 1st phase, they want to incorporate Smart Insight, Search to Insight, and Smart Discovery into the Analytics stories.?? They are now seeing the limitations below and is quiet disappointed. ??For example,

Smart Discovery ?€? due to volume of data in the model (28 dimensions), we have to filter so much to even have this working for a small slice of data.

??

+Pilkington Group Context+

Pilkington is very positive about SAC and Data Analyst has been hired recently with knowledge on R/Python. He seems excited about smart features and tried SD with 300 million cells having sales data with weather data . So different weather conditions were indicated as columns in dataset but SD fails on 1st page.??

They generally think 1 million cell limit is very small and even with filters it wont help. DA guy thinks that presence of variables in original form would be more insightful rather than aggregating it to some category.

??

+AIG Context+

??Showed an example on the profit and loss model with underwriting Gain/Loss as the target - we could test against that,",2,1
